Entry Date,Entry Price,Exit Date,Exit Price,Profit,Profit %
2020-09-21,92.73,2020-09-22,88.52,-4.21,-4.54
2020-10-07,95.03,2020-11-02,88.77,-6.26,-6.59
2020-11-13,98.90,2021-05-11,127.79,28.89,29.21
2021-05-19,123.59,2021-05-20,120.90,-2.69,-2.18
2021-06-24,123.74,2021-07-02,120.52,-3.21,-2.60
2021-08-04,121.72,2021-10-06,122.77,1.04,0.86
2021-11-04,129.25,2021-12-08,137.63,8.38,6.49
2022-01-04,138.51,2022-01-19,127.27,-11.24,-8.11
2022-02-22,119.08,2022-02-25,115.60,-3.47,-2.91
2022-03-23,122.84,2022-04-08,109.01,-13.83,-11.26
2022-05-31,115.00,2022-06-20,96.55,-18.44,-16.04
2022-07-26,95.89,2022-08-30,94.47,-1.42,-1.48
2022-10-12,95.13,2022-12-27,119.80,24.66,25.93
2023-01-10,126.70,2023-03-21,132.92,6.22,4.91
2023-04-04,141.22,2023-07-03,145.17,3.95,2.80
2023-08-01,147.97,2023-08-11,131.82,-16.15,-10.92
2023-11-16,139.66,2024-01-15,155.45,15.79,11.31
2024-02-01,158.09,2024-04-02,172.95,14.86,9.40
2024-05-03,171.98,2024-05-28,175.26,3.28,1.91
2024-07-08,172.95,2024-07-30,164.28,-8.68,-5.02
2024-08-29,164.43,2024-09-18,162.71,-1.72,-1.05
2024-09-25,166.11,2024-11-05,177.76,11.65,7.01
2024-11-12,179.23,2024-11-13,174.26,-4.96,-2.77
2024-11-15,183.00,2024-11-22,172.54,-10.46,-5.71
2024-12-05,187.53,2025-04-02,213.30,25.77,13.74
